Q1_1,Q1_2,Q1_3,Q1_4,Q1_5,Q1_6,Q21_1,Q21_2,Q21_3,Q21_4,Q21_5,Q21_6,Q2,Q3,Q4,Q4_11_TEXT,Q5,Q6,Q6_5_TEXT,Q7,Q7A,Q17,Q7B,Q7B_3_TEXT,Q11_1,Q8,Q9,Q9_5_TEXT,Q10,Q12,Q12A,Q13,Q13A,Q20,Q22,Q8 - Topics
Walk,Walk,Walk,Walk,I don't travel during this time,Car,Home to work,Work to elsewhere,Work to elsewhere,Work to home,I don't travel during this time,Work to home,"CT transit,To-door shuttle (Law/Med)",Downtown,Med campus,,In-between Old Campus and the Med School,Security presence,,No,,,Other (please specify),Don't have a bike,5,"Maybe have more obvious displays on the transmit map if the routes have changed? This has been an issue when certain roads (e.g., Prospect) have been shut down.",Other (please specify),Maybe? Would need to research routes.,No,No,,No,,Yes,Yes,Unknown
Fixed route shuttle,Fixed route shuttle,Fixed route shuttle,Door-to-door shuttle,I don't travel during this time,Car,Home to work,Home to work,Work to home,Work to home,I don't travel during this time,Home to work,To-door shuttle (Law/Med),East Rock,"York St.,Hillhouse area,Whitney/Temple (includes SOM),Old campus",,Prospect/Mansfield at night,"Improve lighting,Security presence",,No,,,Other (please specify),I don't have a bike,15,Shorter wait times,"Yale provided graduate students with cheaper/free passes,Yale groups hosted off-campus events that could be reached by CT transit,Yale provided incentives for using CT transit instead of a car",,No,No,,No,,No,Yes,Unknown
Bike,I don't travel during this time,Bike,Bike,I don't travel during this time,Bike,Home to work,I don't travel during this time,Work to home,Home to elsewhere,I don't travel during this time,Home to elsewhere,To-door shuttle (Law/Med),Near Med campus,"Science Hill,Med campus",,No bike path on prospect,Other (please specify),bike path,Yes,,,,,10,,I already use CT transit,,"Yes, I've heard of it",No,,No,,No,Yes,
Fixed route shuttle,Fixed route shuttle,Fixed route shuttle,To-door shuttle (law/med),Walk,Walk,Home to work,Work to elsewhere,Work to elsewhere,Work to home,Home to elsewhere,Home to work,,East Rock,Med campus,,Between the Med School and Cross/Old Campus,"Shuttle access,Other (please specify)",ESPECIALLY ON WEEKENDS!,No,,,Because bikes are expensive,,10,More than one route on the weekend!! ,"Yale provided graduate students with cheaper/free passes,No, I wouldn't be interested",,"Yes, I've heard of it",No,,No,,No,Yes,Unknown
Bike,Walk,Bike,Car,I don't travel during this time,Car,Home to work,Work to elsewhere,Work to home,Home to elsewhere,I don't travel during this time,Home to elsewhere,To-door shuttle (Law/Med),Other,"Science Hill,Med campus",,,Improve lighting,,Yes,,,,,5,,Yale provided graduate students with cheaper/free passes,,No,No,,No,,Yes,Yes,
Fixed route shuttle,Fixed route shuttle,Fixed route shuttle,Fixed route shuttle,Door-to-door shuttle,Fixed route shuttle,Home to work,Home to work,Home to work,Work to home,Work to home,Home to work,To-door shuttle (Law/Med),East Rock,"Cross campus,Old campus",,Audobon-State,"Shuttle access,Security presence,Blue light,Other (please specify)",,No,,,Don't feel safe biking in traffic,,10,"accurate arrival times on transloc, more Orange shuttles in the morning","Yale provided graduate students with cheaper/free passes,Yale provided incentives for using CT transit instead of a car",,No,No,,No,,Yes,Yes,Unknown
Fixed route shuttle,Walk,Walk,Fixed route shuttle,I don't travel during this time,Car,Home to work,Work to elsewhere,Work to elsewhere,Work to home,I don't travel during this time,Home to elsewhere,To-door shuttle (Law/Med),East Rock,"Science Hill,Med campus",,,,,No,,,Nowhere to store bike (i.e. bike racks),,10,The door-to-door shuttle could be arranged that it picks multiple people up before it drops someone off if they are along the way. I feel like that would decrease wait time.,"Yale provided graduate students with cheaper/free passes,Other (please specify)",Yale provided more information about the places it goes,"Yes, I have the app but don't use it",No,,No,,No,Yes,Unknown
Bike,Fixed route shuttle,Fixed route shuttle,Fixed route shuttle,Car,Car,Home to work,Home to work,Work to home,Work to home,I don't travel during this time,Home to elsewhere,To-door shuttle (Law/Med),East Rock,York St.,,,,,Yes,,,,,22,The Orange line should go both directions on Orange St. at all times. ,"Yale provided graduate students with cheaper/free passes,Yale provided incentives for using CT transit instead of a car",,No,No,,No,,No,Yes,Unknown
Fixed route shuttle,Walk,Walk,Uber/taxi,Uber/taxi,Uber/taxi,Home to work,Work to elsewhere,Work to home,Home to elsewhere,Home to elsewhere,Home to elsewhere,"CT transit,To-door shuttle (Law/Med)",East Rock,Hillhouse area,,almost anywhere when dark,"Shuttle access,Improve lighting,Security presence",,No,,,"Because the commute is too short/long,Don't feel safe biking in traffic,Because bikes are expensive",,13,app-based request for door to door shuttle,"Yale provided graduate students with cheaper/free passes,Yale provided incentives for using CT transit instead of a car",,"Yes, I have the app but don't use it",No,,No,,No,No,Unknown
Fixed route shuttle,Walk,Walk,Door-to-door shuttle,Door-to-door shuttle,Walk,Home to work,I don't travel during this time,Work to home,Home to elsewhere,I don't travel during this time,Home to elsewhere,To-door shuttle (Law/Med),East Rock,Science Hill,,,,,No,,,Don't feel safe biking in traffic,,15,,"Yale provided graduate students with cheaper/free passes,Other (please specify)",Less crowded,"Yes, I've heard of it",No,,No,,No,Yes,
Walk,I don't travel during this time,I don't travel during this time,Walk,Uber/taxi,Fixed route shuttle,Home to work,I don't travel during this time,I don't travel during this time,Work to home,Home to elsewhere,Home to elsewhere,To-door shuttle (Law/Med),Downtown,Med campus,,George and York to George and High,Improve lighting,,No,,,"Nowhere to store bike (i.e. bike racks),Because the commute is too short/long",,10,Better live tracking of the shuttles and an easier to understand schedule listing,Yale provided graduate students with cheaper/free passes,,No,No,,No,,No,Yes,Unknown
Walk,Walk,Walk,Door-to-door shuttle,I don't travel during this time,Walk,Home to work,Work to elsewhere,Work to elsewhere,Work to home,Prefer not to answer,Home to work,To-door shuttle (Law/Med),Mansfield/Yale Health area,Hillhouse area,,No,,,No,,,"Nowhere to store bike (i.e. bike racks),Don't feel safe biking in traffic",,10,Better information for grads on shuttle paths/schedule,"Yale groups hosted off-campus events that could be reached by CT transit,Yale provided incentives for using CT transit instead of a car",,No,No,,No,,No,Yes,Unknown
Fixed route shuttle,Fixed route shuttle,Fixed route shuttle,Door-to-door shuttle,Uber/taxi,Fixed route shuttle,Home to work,Home to work,Home to work,Work to home,I don't travel during this time,Home to elsewhere,CT transit,Near Med campus,York St.,,,Shuttle access,,Yes,,,,,10,,Yale provided graduate students with cheaper/free passes,,"Yes, I have and use the app",No,,No,,No,Yes,
Walk,Walk,I don't travel during this time,Walk,I don't travel during this time,Walk,Home to work,Work to elsewhere,I don't travel during this time,Work to home,I don't travel during this time,Home to elsewhere,,Prospect Hill,Science Hill,,The route between the Ice rink to PWG esp and on Mansfield St itself.,"Improve lighting,Security presence",,No,,,"Because the commute is too short/long,Due to weather considerations",,1,"Have more shuttle services during winters, please!",Yale provided graduate students with cheaper/free passes,,"Yes, I have and use the app",No,,No,,No,Yes,Unknown
I don't travel during this time,I don't travel during this time,I don't travel during this time,I don't travel during this time,,,I don't travel during this time,I don't travel during this time,I don't travel during this time,I don't travel during this time,I don't travel during this time,Home to elsewhere,To-door shuttle (Law/Med),Other,York St.,,,"Shuttle access,Improve lighting,Security presence,Blue light",,No,,,"Due to weather considerations,Don't feel safe biking in traffic",,15,,Other (please specify),If they offered better routes that came more frequently than Yale shuttle,No,No,,No,,No,Yes,
Fixed route shuttle,Walk,Walk,Fixed route shuttle,I don't travel during this time,Fixed route shuttle,Home to work,Work to elsewhere,Work to elsewhere,Work to elsewhere,I don't travel during this time,Home to elsewhere,To-door shuttle (Law/Med),Near Med campus,Med campus,,"South Frontage and York, George and York, Crown and York, everywhere near the train station",Security presence,,No,,,"Other (please specify),Don't feel safe biking in traffic",Got hit by a car on Elm and College and ever since then have not biked in New Haven,10,Have some safe method to get TO the train station FROM the med campus on weekends (especially between 6am and 9am when the Blue Line is not running.  Please.),"I already use CT transit,Yale provided graduate students with cheaper/free passes,Other (please specify)",If it felt safer,No,Yes,,Yes,,Yes,Yes,Unknown
Walk,Walk,Walk,Walk,I don't travel during this time,Walk,Home to work,Home to work,Work to elsewhere,Work to elsewhere,I don't travel during this time,Home to elsewhere,"CT transit,To-door shuttle (Law/Med)",East Rock,Whitney/Temple (includes SOM),,n/a,Other (please specify),n/a,No,,,"Because the commute is too short/long,Don't feel safe biking in traffic",,5,,Yale provided graduate students with cheaper/free passes,,"Yes, I've heard of it",No,,No,,Yes,Yes,
Fixed route shuttle,Walk,Walk,Fixed route shuttle,I don't travel during this time,Walk,Home to work,Home to work,Work to home,Work to home,I don't travel during this time,Home to work,,East Rock,York St.,,,,,Yes,,,,,15,Continue service on the orange line through the full day. So many people live in East Rock and it's so frustrating if you need to travel in the middle of the day. ,Yale provided graduate students with cheaper/free passes,,"Yes, I've heard of it",No,,No,,No,Yes,Unknown
Fixed route shuttle,I don't travel during this time,Fixed route shuttle,Fixed route shuttle,I don't travel during this time,Car,Home to work,I don't travel during this time,Work to home,Work to home,I don't travel during this time,Home to elsewhere,,East Rock,Med campus,,,,,No,,,"Lack of bike paths,Don't feel safe biking in traffic",,10,More orange shuttles in the morning (between 7:45 and 8:45),"Yale provided graduate students with cheaper/free passes,Yale groups hosted off-campus events that could be reached by CT transit",,No,No,,No,,No,Yes,Unknown
Walk,Walk,Walk,Walk,I don't travel during this time,Walk,Home to work,Home to work,Home to elsewhere,Home to elsewhere,I don't travel during this time,Home to elsewhere,,Downtown,York St.,,No. I do avoid certain streets that seem unsafe. I do not feel safe near the green or Dwight street. I do feel worried walking home after dark from the library. ,"Shuttle access,Security presence,Blue light",,No,,,Don't feel safe biking in traffic,,14,I have heard that the shuttle drivers can be abrasive when you ask to travel a short distance so I have avoided calling for pick up from the library to avoid making an inconvenience. ,"Yale provided graduate students with cheaper/free passes,Yale groups hosted off-campus events that could be reached by CT transit,Yale provided incentives for using CT transit instead of a car",,"Yes, I have and use the app",No,,No,,No,Yes,Unknown
Bike,I don't travel during this time,Bike,Bike,I don't travel during this time,Bike,Home to work,I don't travel during this time,Work to home,Work to home,I don't travel during this time,Home to elsewhere,,Westville,Science Hill,,"I generally feel safe throughout my commute, other than cars that don't pay attention to bicyclists.",Other (please specify),Better bike lanes,Yes,,,,,10,,I already use CT transit,,No,No,,No,,No,Yes,
Walk,Walk,Walk,Fixed route shuttle,Door-to-door shuttle,Door-to-door shuttle,Home to work,Home to work,Work to home,,Home to elsewhere,Home to elsewhere,To-door shuttle (Law/Med),Downtown,"Whitney/Temple (includes SOM),Med campus",,george  st,"Shuttle access,Security presence",,No,,,Don't feel safe biking in traffic,,10,More shuttles,Yale provided graduate students with cheaper/free passes,,No,No,,No,,No,Yes,Unknown
I don't travel during this time,Walk,Walk,Door-to-door shuttle,Door-to-door shuttle,Walk,I don't travel during this time,Home to work,Home to work,Work to home,,,,Downtown,"Hillhouse area,Cross campus",,"The area close to the medical school, some areas around Mansfield and Science Hill","Improve lighting,Security presence,Blue light",,No,,,"Lack of bike paths,Don't feel safe biking in traffic",,10,"Have stop buttons in all shuttles to avoid confusion between drivers and passengers, have drivers better trained in customer service.","I already use CT transit,Other (please specify)",I am one of the few to use the transit system. Yale should encourage this more by doing the first 3 points mentioned.,No,No,,No,,No,Yes,Unknown
Walk,Walk,Walk,Fixed route shuttle,I don't travel during this time,Walk,Home to work,Work to elsewhere,Work to elsewhere,Work to home,I don't travel during this time,Home to elsewhere,To-door shuttle (Law/Med),Mansfield/Yale Health area,Science Hill,,"The corner near Mansfield Apt with the abandoned building, there isn't much light.",Improve lighting,,No,,,"Because the commute is too short/long,Due to weather considerations",,18,"Could it stop at science hill during the night, too? ",Other (please specify),"I don't drive and I'm on the shuttle line, so it wouldn't be necessary",No,No,,No,,No,Yes,Unknown
Bike,Bike,Bike,Bike,Uber/taxi,Bike,Home to work,Work to elsewhere,Work to elsewhere,Work to home,I don't travel during this time,Home to elsewhere,,Wooster Square,"Science Hill,Med campus",,Biking along Grove Street and Whitney ave there are not well marked bike lanes!,Other (please specify),Painting bike lanes on more routes.,Yes,,,,,,Better service to Wooster Square.,Yale provided graduate students with cheaper/free passes,,"Yes, I have the app but don't use it",No,,No,,No,Yes,Unknown
Walk,Walk,Walk,Door-to-door shuttle,Door-to-door shuttle,Car,Home to work,Work to elsewhere,Work to elsewhere,Work to home,Work to home,Work to home,To-door shuttle (Law/Med),East Rock,Med campus,,"Construction around science hill, N and S frontages",Other (please specify),security later in the evenings and weekends,Yes,,,,,15,,"No, I wouldn't be interested",,No,No,,No,,Yes,Yes,
Walk,Walk,Walk,Walk,Walk,Walk,Home to work,Work to elsewhere,Work to elsewhere,Work to home,Work to home,Home to work,,East Rock,"Hillhouse area,Whitney/Temple (includes SOM)",,,,,No,,,"Because the commute is too short/long,Don't feel safe biking in traffic",,15,Better estimates of time during the night when they're doing drop-offs. Hard to know when to be at stops at night.,"Yale provided graduate students with cheaper/free passes,Yale provided incentives for using CT transit instead of a car",,"Yes, I have the app but don't use it",No,,No,,No,Yes,Unknown
Bike,Bike,Bike,Bike,I don't travel during this time,Fixed route shuttle,Home to work,Work to elsewhere,Home to elsewhere,Home to elsewhere,I don't travel during this time,I don't travel during this time,,East Rock,Whitney/Temple (includes SOM),,orange st,"Improve lighting,Security presence",,Yes,,,,,15,,I already use CT transit,,"Yes, I have and use the app",No,,Yes,,No,Yes,
Walk,Walk,Walk,Walk,I don't travel during this time,Walk,Work to home,Work to elsewhere,Work to elsewhere,Work to home,I don't travel during this time,Home to elsewhere,To-door shuttle (Law/Med),Near Med campus,Med campus,,"Around Med school area, especially between hospital and Walgreens area","Improve lighting,Security presence",,No,,,"Because the commute is too short/long,Due to weather considerations,Don't feel safe biking in traffic,Because bikes are expensive",,8,,"Yale provided graduate students with cheaper/free passes,Yale provided incentives for using CT transit instead of a car",,No,No,,No,,Yes,Yes,
Fixed route shuttle,I don't travel during this time,I don't travel during this time,Fixed route shuttle,I don't travel during this time,Fixed route shuttle,Home to work,Prefer not to answer,Prefer not to answer,Work to elsewhere,Prefer not to answer,Home to work,To-door shuttle (Law/Med),Mansfield/Yale Health area,Med campus,,Mansfield street,"Improve lighting,Security presence",,No,,,"Due to weather considerations,Because bikes are expensive",,30,,"Yale provided graduate students with cheaper/free passes,Yale groups hosted off-campus events that could be reached by CT transit,Yale provided incentives for using CT transit instead of a car",,No,No,,No,,No,Yes,
Bike,Bike,Bike,Bike,Bike,I don't travel during this time,Home to work,Home to work,Work to elsewhere,Work to elsewhere,Work to home,I don't travel during this time,,Other,Science Hill,,,Shuttle access,,Yes,,,,,5,,Yale provided graduate students with cheaper/free passes,,No,No,,No,,No,Yes,
Fixed route shuttle,Walk,Fixed route shuttle,Car,Car,Car,Home to work,Home to work,Work to home,Work to home,Home to elsewhere,Home to elsewhere,To-door shuttle (Law/Med),East Rock,Science Hill,,east rock,"Shuttle access,Security presence",,No,,,"Lack of bike paths,Don't feel safe biking in traffic,Because bikes are expensive",,13,The shuttle could be improved if it ran all day including between 11am and 4pm and if it ran more often in the evening from 4-8pm for instance,"Yale provided graduate students with cheaper/free passes,Yale provided incentives for using CT transit instead of a car",,No,No,,No,,No,Yes,Unknown
Walk,Fixed route shuttle,Fixed route shuttle,Fixed route shuttle,Door-to-door shuttle,Fixed route shuttle,Home to work,I don't travel during this time,Work to elsewhere,Work to home,Work to home,Home to elsewhere,,East Rock,"Hillhouse area,Med campus",,Med school,Improve lighting,,No,,,"Lack of bike paths,Don't feel safe biking in traffic",,60,More shuttles,"Yale provided graduate students with cheaper/free passes,Yale groups hosted off-campus events that could be reached by CT transit",,No,Yes,,No,,No,Yes,Unknown
Walk,Walk,Walk,Walk,Door-to-door shuttle,Walk,Home to work,Work to elsewhere,Work to elsewhere,Work to home,I don't travel during this time,Home to elsewhere,,Downtown,"York St.,Hillhouse area,Whitney/Temple (includes SOM)",,,,,No,,,Other (please specify),I prefer walking,20,I think a 15 minute max wait time would be ideal.,Other (please specify),Have never used it,"Yes, I've heard of it",No,,No,,No,Yes,Unknown
Walk,I don't travel during this time,I don't travel during this time,Car,I don't travel during this time,Car,Home to work,I don't travel during this time,I don't travel during this time,Work to home,I don't travel during this time,Home to elsewhere,To-door shuttle (Law/Med),East Rock,Science Hill,,,Improve lighting,,No,,,Don't feel safe biking in traffic,,10,,"No, I wouldn't be interested",,"Yes, I've heard of it",No,,No,,Yes,Yes,
Walk,I don't travel during this time,Walk,Walk,I don't travel during this time,Walk,Home to work,I don't travel during this time,Work to home,Home to elsewhere,Prefer not to answer,Home to elsewhere,Door to door shuttle,Near Med campus,Med campus,,I feel fairly safe,"Improve lighting,Security presence,Blue light",,No,,,Because the commute is too short/long,,15,,"Yale provided graduate students with cheaper/free passes,Yale groups hosted off-campus events that could be reached by CT transit,Yale provided incentives for using CT transit instead of a car",,"Yes, I have the app but don't use it",No,,No,,No,Yes,
Walk,Walk,Walk,Walk,I don't travel during this time,Walk,Home to work,Home to work,Work to elsewhere,Work to home,Prefer not to answer,Home to elsewhere,,Downtown,Med campus,,"between med campus and downtown (george st, crown st)",Security presence,,No,,,"Because the commute is too short/long,Because bikes are expensive",,12,,"Yale provided graduate students with cheaper/free passes,Yale provided incentives for using CT transit instead of a car",,No,No,,No,,No,Yes,
Car,Car,I don't travel during this time,I don't travel during this time,I don't travel during this time,Car,Home to work,Home to work,I don't travel during this time,I don't travel during this time,I don't travel during this time,Home to elsewhere,To-door shuttle (Law/Med),Downtown,York St.,,no,,,No,,,Don't feel safe biking in traffic,,7,,"No, I wouldn't be interested",,No,No,,No,,No,Yes,
Walk,I don't travel during this time,Walk,Walk,Door-to-door shuttle,Walk,Home to work,I don't travel during this time,Work to home,Work to home,Home to work,Home to elsewhere,,Downtown,Med campus,,,Improve lighting,,No,,,Other (please specify),Don't have a bike,25,,"No, I wouldn't be interested",,No,No,,No,,No,Yes,
Car,Fixed route shuttle,Fixed route shuttle,Car,Uber/taxi,Uber/taxi,Home to work,Work to elsewhere,Work to elsewhere,Home to work,Home to elsewhere,Home to elsewhere,To-door shuttle (Law/Med),East Rock,Science Hill,,,Improve lighting,,No,,,Don't feel safe biking in traffic,,5,,"Yale provided graduate students with cheaper/free passes,Yale provided incentives for using CT transit instead of a car",,No,No,,No,,Yes,Yes,
Walk,Walk,Walk,Walk,Walk,Walk,Home to work,Work to elsewhere,Work to home,Home to elsewhere,Prefer not to answer,Prefer not to answer,To-door shuttle (Law/Med),East Rock,"York St.,Cross campus",,,,,No,,,"Because the commute is too short/long,Don't feel safe biking in traffic",,,,"No, I wouldn't be interested",,No,No,,No,,No,Yes,
Bike,Bike,Bike,Walk,Uber/taxi,Walk,Home to work,Home to work,Work to home,Home to elsewhere,Home to elsewhere,Home to elsewhere,To-door shuttle (Law/Med),Other,"Cross campus,Old campus",,I live on Science Hill and the shuttle stops running early; I usually avoid Winchester Avenue on my way back home once it's dark.,"Shuttle access,Blue light",,Yes,,,,,20,,Yale provided graduate students with cheaper/free passes,,"Yes, I have and use the app",No,,No,,No,Yes,
Walk,Walk,Walk,Door-to-door shuttle,Door-to-door shuttle,Car,Home to work,Work to home,Work to home,Home to elsewhere,Home to elsewhere,Home to elsewhere,To-door shuttle (Law/Med),Downtown,Med campus,,None,"Shuttle access,Improve lighting",,No,,,"Because the commute is too short/long,Don't feel safe biking in traffic",,30,,"Yale provided graduate students with cheaper/free passes,Yale groups hosted off-campus events that could be reached by CT transit,Yale provided incentives for using CT transit instead of a car",,"Yes, I've heard of it",No,,No,,Yes,Yes,
Bike,Walk,Walk,Uber/taxi,I don't travel during this time,Walk,Home to work,Work to elsewhere,Work to elsewhere,Work to home,,Home to elsewhere,CT transit,East Rock,Hillhouse area,,Trumbull/Whitney intersection area,"Improve lighting,Security presence",,Yes,,,,,10,it would be nice if there was a fixed evening route that went UP orange st rather than just down it after going up whitney (it takes forever to get all the way to orange down by pearl st,Yale provided graduate students with cheaper/free passes,,No,No,,No,,No,No,Unknown
Fixed route shuttle,Walk,Walk,Car,I don't travel during this time,I don't travel during this time,Home to work,Work to home,Work to home,Home to elsewhere,I don't travel during this time,I don't travel during this time,"Bike,Uber/taxi,Door to door shuttle,To-door shuttle (Law/Med)",East Rock,"Science Hill,Whitney/Temple (includes SOM)",,,,,No,,,"Lack of bike paths,Don't feel safe biking in traffic",,7,,Yale provided graduate students with cheaper/free passes,,No,No,,No,,No,Yes,
Fixed route shuttle,Walk,Fixed route shuttle,Door-to-door shuttle,I don't travel during this time,Fixed route shuttle,Home to work,Work to elsewhere,Work to home,Work to home,I don't travel during this time,Home to elsewhere,"CT transit,To-door shuttle (Law/Med)",East Rock,"York St.,Cross campus,Old campus",,N/A,Shuttle access,,No,,,"Don't feel safe biking in traffic,Because bikes are expensive",,15,,"Yale provided graduate students with cheaper/free passes,Yale groups hosted off-campus events that could be reached by CT transit,Yale provided incentives for using CT transit instead of a car",,No,No,,No,,No,Yes,
Walk,Walk,Walk,Door-to-door shuttle,Door-to-door shuttle,Walk,Home to work,Work to elsewhere,Home to work,Work to home,Work to home,Home to elsewhere,CT transit,Downtown,Cross campus,,,,,No,,,"Other (please specify),Because the commute is too short/long",I don't have a bike,60,"drivers should (A) not be overloaded with requests from dispatch, and (B) know the streets of East Rock",Other (please specify),I knew what CT transit was,No,No,,No,,No,Yes,Unknown
Fixed route shuttle,I don't travel during this time,I don't travel during this time,Fixed route shuttle,I don't travel during this time,Fixed route shuttle,Home to work,I don't travel during this time,I don't travel during this time,Work to home,I don't travel during this time,Home to work,To-door shuttle (Law/Med),East Rock,Med campus,,The garage between Yale-NH hospital and Walgreens,"Improve lighting,Security presence",,No,,,Due to weather considerations,,13,,"No, I wouldn't be interested",,No,No,,No,,No,Yes,
Walk,Walk,Walk,Door-to-door shuttle,Car,Car,Home to work,Home to work,Work to home,Work to elsewhere,Home to work,Home to elsewhere,To-door shuttle (Law/Med),Mansfield/Yale Health area,"Science Hill,Whitney/Temple (includes SOM)",,Mansfield St,"Security presence,Blue light",,No,,,"Nowhere to store bike (i.e. bike racks),Other (please specify)",Money of buying a bike,20,,Yale provided graduate students with cheaper/free passes,,"Yes, I have the app but don't use it",No,,No,,No,Yes,
Fixed route shuttle,Walk,Walk,Door-to-door shuttle,I don't travel during this time,Car,Home to work,Work to elsewhere,Work to elsewhere,Work to home,I don't travel during this time,Home to elsewhere,To-door shuttle (Law/Med),East Rock,Old campus,,,"Improve lighting,Security presence,Other (please specify)","What's with the lights that intermittently turn on and off? If it's dark out, they need to be turned on!",No,,,Don't feel safe biking in traffic,,15,"People are packed like sardines on the blue line between 4:30-5:30 pm on weekdays. Sometimes there are not even handles available to hold on to. Could I please suggest running additional buses during afternoon rush hour (much like they do during morning rush hour). Also, can the door-to-door service begin earlier during Daylight Savings Time? It is completely dark by 5 pm during the winter, but door-to-door doesn't start until 6 pm.","No, I wouldn't be interested",,"Yes, I've heard of it",No,,No,,No,Yes,Unknown
Car,Car,Car,Walk,Walk,Walk,Home to work,Home to work,Work to home,Work to home,Work to home,Work to elsewhere,,East Rock,"Other (please specify),Hillhouse area,Prospect,Cross campus,Old campus",Quinnipiac,"No, I always feel completely safe in New Haven",,,No,,,"Lack of bike paths,Because the commute is too short/long,Due to weather considerations",,0,,"No, I wouldn't be interested",,No,No,,No,,No,Yes,
Bike,Walk,Bike,Bike,Uber/taxi,Bike,Home to work,Work to elsewhere,Work to home,Home to elsewhere,Home to elsewhere,Home to elsewhere,To-door shuttle (Law/Med),East Rock,Science Hill,,,,,Yes,,,,,5,App to call shuttle instead of phone call,"No, I wouldn't be interested",,No,No,,No,,No,Yes,Unknown
Walk,Walk,Walk,Door-to-door shuttle,I don't travel during this time,Door-to-door shuttle,Home to work,I don't travel during this time,I don't travel during this time,Work to home,I don't travel during this time,Home to elsewhere,,East Rock,Science Hill,,,"Shuttle access,Improve lighting,Security presence",,No,,,"Lack of bike paths,Nowhere to store bike (i.e. bike racks),Don't feel safe biking in traffic,Because bikes are expensive",,14,,"Yale provided graduate students with cheaper/free passes,Yale groups hosted off-campus events that could be reached by CT transit,Yale provided incentives for using CT transit instead of a car",,No,No,,No,,Yes,Yes,
Walk,Walk,Walk,Walk,Door-to-door shuttle,Walk,Home to work,Work to elsewhere,Work to elsewhere,Work to home,I don't travel during this time,Home to elsewhere,,East Rock,Cross campus,,,"Shuttle access,Improve lighting",,No,,,Don't feel safe biking in traffic,,15,,"Yale provided graduate students with cheaper/free passes,Yale groups hosted off-campus events that could be reached by CT transit",,No,No,,No,,No,Yes,
Fixed route shuttle,Walk,Fixed route shuttle,Fixed route shuttle,Door-to-door shuttle,Uber/taxi,Home to work,Work to elsewhere,Work to elsewhere,Work to home,I don't travel during this time,Home to elsewhere,,East Rock,Whitney/Temple (includes SOM),,,,,Yes,,,,,,More frequent buses on weekend,Yale provided incentives for using CT transit instead of a car,,"Yes, I have the app but don't use it",No,,No,,No,Yes,Unknown
Car,Car,Car,Car,I don't travel during this time,Car,Home to work,Home to work,Work to home,Home to elsewhere,I don't travel during this time,Home to elsewhere,To-door shuttle (Law/Med),Hamden,Divinity Quad,,,Shuttle access,,No,,,"Lack of bike paths,Don't feel safe biking in traffic",,10,,"Yale provided graduate students with cheaper/free passes,Yale provided incentives for using CT transit instead of a car",,No,No,,No,,No,Yes,
Fixed route shuttle,Walk,Walk,Walk,Door-to-door shuttle,Walk,Home to work,Work to elsewhere,Work to home,Home to elsewhere,I don't travel during this time,Home to elsewhere,,Downtown,Science Hill,,,,,No,,,Don't feel safe biking in traffic,,20,,Yale provided graduate students with cheaper/free passes,,No,No,,No,,No,Yes,
Bike,I don't travel during this time,Bike,Bike,Car,Car,Home to work,I don't travel during this time,Work to elsewhere,Work to home,Home to elsewhere,Home to elsewhere,,East Rock,Science Hill,,"Parking lot on Science Hill, too dark after the construction removed a lot of light",Improve lighting,,Yes,,,,,15,,"No, I wouldn't be interested",,"Yes, I've heard of it",No,,No,,Yes,Yes,
Walk,I don't travel during this time,I don't travel during this time,Walk,I don't travel during this time,Walk,Home to work,I don't travel during this time,I don't travel during this time,Work to home,I don't travel during this time,Home to elsewhere,"Door to door shuttle,To-door shuttle (Law/Med)",East Rock,Science Hill,,,,,Yes,,,,,4,,"Yale provided graduate students with cheaper/free passes,Yale provided incentives for using CT transit instead of a car",,No,No,,No,,Yes,Yes,
Car,CT Transit,Car,Car,I don't travel during this time,Car,Home to work,Home to work,Home to work,,I don't travel during this time,Home to elsewhere,Fixed route shuttle,Hamden,Hillhouse area,,,,,No,,,"Because the commute is too short/long,Due to weather considerations",,3,I would love to see the shuttle go up to areas of southern Hamden including Whitneyville and Spring Glen.,"I already use CT transit,Yale provided graduate students with cheaper/free passes",,No,No,,No,,No,Yes,Unknown
Walk,Walk,Fixed route shuttle,Door-to-door shuttle,I don't travel during this time,Uber/taxi,Home to work,Work to elsewhere,Work to home,Work to home,Prefer not to answer,Home to elsewhere,To-door shuttle (Law/Med),Mansfield/Yale Health area,"York St.,Old campus",,Mansfield/Winchester very late at night,"Improve lighting,Blue light",,No,,,Don't feel safe biking in traffic,,10,More frequent shuttles at night,Yale provided graduate students with cheaper/free passes,,"Yes, I have the app but don't use it",No,,No,,No,Yes,Unknown
Fixed route shuttle,Fixed route shuttle,Fixed route shuttle,Fixed route shuttle,I don't travel during this time,Car,Home to work,Work to elsewhere,Work to home,Work to home,I don't travel during this time,Home to work,,Other,Med campus,,no,,,No,,,"Other (please specify),Because the commute is too short/long",I live in Milford.,20,,"Yale provided graduate students with cheaper/free passes,Yale provided incentives for using CT transit instead of a car",,No,No,,No,,No,Yes,
