Q1_1,Q1_2,Q1_3,Q1_4,Q1_5,Q1_6,Q21_1,Q21_2,Q21_3,Q21_4,Q21_5,Q21_6,Q2,Q3,Q4,Q4_11_TEXT,Q5,Q6,Q6_5_TEXT,Q7,Q7A,Q17,Q7B,Q7B_3_TEXT,Q11_1,Q8,Q9,Q9_5_TEXT,Q10,Q12,Q12A,Q13,Q13A,Q20,Q22,Q8 - Topics
Walk,Walk,Walk,Walk,Walk,Walk,Home to work,I don't travel during this time,Work to home,I don't travel during this time,I don't travel during this time,Work to home,To-door shuttle (Law/Med),Other,Hillhouse area,,"yes, the sidewalk besides 17 Hillhouse and Helen Hadley Hall",Improve lighting,,No,,,Because the commute is too short/long,,20,,"No, I wouldn't be interested",,No,No,,No,,No,Yes,
Bike,Walk,Walk,Bike,I don't travel during this time,Bike,Home to work,Work to elsewhere,Work to elsewhere,Work to home,I don't travel during this time,Home to work,,East Rock,Cross campus,,The parking lots on science hill,Blue light,,Yes,,,,,15,To make it easier and faster when calling a shuttle for a group of people going to different places. The flag-stop system often puts extra passengers last on the list and it can take a long time before they reach their homes as new call-ins often take preference.,Yale provided graduate students with cheaper/free passes,,No,No,,No,,Yes,Yes,Unknown
Walk,I don't travel during this time,Fixed route shuttle,Walk,Door-to-door shuttle,Walk,Home to work,I don't travel during this time,Work to elsewhere,Home to elsewhere,Home to elsewhere,Home to elsewhere,,Mansfield/Yale Health area,"Hillhouse area,Med campus",,Near Crown/George,"Improve lighting,Security presence",,No,,,"Due to weather considerations,Don't feel safe biking in traffic",,9,More vehicles so they won't fill up and there's less wait time in case you miss one,"Yale provided graduate students with cheaper/free passes,Yale groups hosted off-campus events that could be reached by CT transit,Yale provided incentives for using CT transit instead of a car",,"Yes, I've heard of it",No,,No,,No,Yes,Unknown
Fixed route shuttle,Fixed route shuttle,Walk,Walk,Uber/taxi,Walk,Home to work,Work to home,Work to home,Home to elsewhere,Home to elsewhere,Home to elsewhere,"CT transit,To-door shuttle (Law/Med)",East Rock,York St.,,Closer to downtown. Panhandlers can be persistent,"Improve lighting,Blue light,Other (please specify)",Encourage pan handlers to have signs rather than walk up to people and ask for money. ,No,,,"Lack of bike paths,Other (please specify),Don't feel safe biking in traffic",I've heard bikes get stolen downtown,13,"Have the blue line run later in the day. Also make sure that if a bus is about to go on break or go out of service, that there be an alert on the app. ",Yale provided graduate students with cheaper/free passes,,"Yes, I have the app but don't use it",No,,No,,No,Yes,Unknown
Bike,Bike,Bike,Bike,Door-to-door shuttle,Door-to-door shuttle,Home to work,Work to elsewhere,Work to elsewhere,Work to elsewhere,Home to elsewhere,Home to elsewhere,"Fixed route shuttle,To-door shuttle (Law/Med)",Dwight,Hillhouse area,,dont feel save in  the green area and on whalley beyond dwight,"Security presence,Blue light",,Yes,,,,,20,,Yale provided graduate students with cheaper/free passes,,No,No,,No,,No,No,
Walk,Walk,Walk,Walk,I don't travel during this time,Walk,Home to work,Work to elsewhere,Work to home,Home to elsewhere,I don't travel during this time,Home to elsewhere,,East Rock,Hillhouse area,,,,,No,,,Don't feel safe biking in traffic,,3,,"No, I wouldn't be interested",,No,No,,No,,No,No,
Walk,Walk,Walk,Door-to-door shuttle,I don't travel during this time,Walk,Home to work,Work to elsewhere,Work to elsewhere,Work to home,I don't travel during this time,Home to elsewhere,To-door shuttle (Law/Med),Mansfield/Yale Health area,"Science Hill,Hillhouse area",,,Improve lighting,,No,,,Because the commute is too short/long,,3,,Yale provided graduate students with cheaper/free passes,,"Yes, I have the app but don't use it",No,,No,,No,Yes,
Walk,Walk,Walk,Fixed route shuttle,I don't travel during this time,Fixed route shuttle,Home to work,I don't travel during this time,I don't travel during this time,Work to home,I don't travel during this time,Home to elsewhere,To-door shuttle (Law/Med),Downtown,Science Hill,,no,,,No,,,Because the commute is too short/long,,10,Having more shuttles to Union Station during late time (night),Yale provided graduate students with cheaper/free passes,,No,No,,No,,No,Yes,Unknown
Bike,I don't travel during this time,Bike,Bike,I don't travel during this time,Bike,Home to work,I don't travel during this time,I don't travel during this time,Work to elsewhere,I don't travel during this time,Home to elsewhere,,East Rock,Hillhouse area,,,"Improve lighting,Security presence",,Yes,,,,,15,,"No, I wouldn't be interested",,No,No,,No,,Yes,Yes,
Walk,Walk,Walk,Walk,I don't travel during this time,Car,Home to work,Work to elsewhere,Work to home,Work to home,I don't travel during this time,Home to elsewhere,To-door shuttle (Law/Med),East Rock,Hillhouse area,,"Science Hill, near the chemistry building",Improve lighting,,No,,,"Lack of bike paths,Nowhere to store bike (i.e. bike racks),Don't feel safe biking in traffic",,10,"Provide better indicators for where the stops are, which buses will stop there, and when. An electronic sign that updates every minute would be very helpful.",Yale provided graduate students with cheaper/free passes,,"Yes, I have the app but don't use it",No,,No,,Yes,Yes,Unknown
Walk,Walk,Walk,Door-to-door shuttle,I don't travel during this time,Walk,Home to work,Work to elsewhere,Work to home,Home to elsewhere,I don't travel during this time,Work to home,,Downtown,Cross campus,,Howe and Park Street between Chapel and Elm,"Improve lighting,Security presence",,No,,,Other (please specify),Don't have a bike.,15,Prompter pick-up from train station; waiting for a shuttle (either the blue line or door-to-door shuttle) at the train station at night is actually scary.,Yale provided graduate students with cheaper/free passes,,No,No,,No,,Yes,Yes,Unknown
Walk,Walk,Walk,Uber/taxi,Door-to-door shuttle,Car,Home to work,I don't travel during this time,I don't travel during this time,Work to home,I don't travel during this time,Home to elsewhere,,Dwight,"Science Hill,Hillhouse area",,,"Improve lighting,Security presence",,Yes,,,,,10,I think it would be great to have an app for it. ,Yale provided graduate students with cheaper/free passes,,No,No,,No,,Yes,Yes,Unknown
